"","CETE","CHFU","CHMI","HOMA","LEMA","MEEL","MESU","PLCO","POMA","SASO","SCLA","SPRU","SOAS","SUSP","RAPE","year","NA"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"2017"
"6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"2017"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"9",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"2017"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019"
