"","Amaranthaceae","Asteraceae","Caryophyllaceae","Fabaceae","Frankeniaceae","Gentianaceae","Lythraceae","Plantaginaceae","Poacea","Poaceae","HOMA","year"
"1",0,0,0,0,0,0,0,0,0,0,0,"2017"
"2",0,0,0,0,0,0,0,0,0,0,0,"2017"
"3",0,0,0,0,0,0,0,0,0,0,0,"2017"
"4",0,0,0,0,0,0,0,0,0,0,0,"2017"
"5",0,0,0,0,0,0,0,0,0,0,0,"2017"
"6",0,0,0,0,0,0,0,0,0,0,0,"2017"
"7",0,0,0,0,0,0,0,0,0,0,0,"2017"
"8",0,0,0,0,0,0,0,0,0,0,0,"2017"
"9",0,0,0,0,0,0,0,0,0,0,1,"2017"
"10",0,0,0,0,0,0,0,0,0,0,0,"2017"
"11",0,0,0,0,0,0,0,0,0,0,0,"2017"
"12",0,0,0,0,0,0,0,0,0,0,0,"2018"
"13",0,0,0,0,0,0,0,0,0,0,0,"2018"
"14",0,0,0,0,0,0,0,0,0,0,0,"2018"
"15",0,0,0,0,0,0,0,0,0,0,0,"2018"
"16",0,0,0,0,0,0,0,0,0,0,0,"2018"
"17",0,0,0,0,0,0,0,0,0,0,0,"2018"
"18",0,0,0,0,0,0,0,0,0,0,0,"2018"
"19",0,0,0,0,0,0,0,0,0,0,0,"2018"
"20",0,0,0,0,0,0,0,0,0,0,0,"2018"
"21",0,0,0,0,0,0,0,0,0,0,0,"2018"
"22",0,0,0,0,0,0,0,0,0,0,0,"2018"
"23",0,0,0,0,0,0,0,0,0,0,0,"2019"
"24",0,0,0,0,0,0,0,0,0,0,0,"2019"
"25",0,0,0,0,0,0,0,0,0,0,0,"2019"
"26",0,0,0,0,0,0,0,0,0,0,0,"2019"
"27",0,0,0,0,0,0,0,0,0,0,0,"2019"
"28",0,0,0,0,0,0,0,0,0,0,0,"2019"
"29",0,0,0,0,0,0,0,0,0,0,0,"2019"
"30",0,0,0,0,0,0,0,0,0,0,0,"2019"
"31",0,0,0,0,0,0,0,0,0,0,0,"2019"
"32",0,0,0,0,0,0,0,0,0,0,0,"2019"
"33",0,0,0,0,0,0,0,0,0,0,0,"2019"
